,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
4736415,15679087,08/10/2022 03:16:00 PM,08/10/2022 10:15:20 PM,08/10/2022 10:15:20 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 15669961,DPW Ops Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"1475 FILLMORE ST, SAN FRANCISCO, CA, 94115",FILLMORE ST,5.0,Western Addition,NORTHERN,37.7830637,-122.4327791,"(37.7830637, -122.4327791)",Mobile/Open311,http://mobile311.sfgov.org/reports/15679087/photos,97.0,4.0,11.0,39.0,11.0,15.0,6.0,29490.0,9.0,41.0,41.0,8.0,97.0,,11.0,9.0,,,9.0,,,2.0,,,27.0,,97.0
301801,432203,05/15/2009 03:23:30 PM,06/11/2009 07:10:50 AM,06/11/2009 07:10:50 AM,Closed,See Notes tab for more details,DPW Ops Queue,Litter Receptacles,Damaged_City_Can,Missing_liner,Intersection of STOCKTON ST and WASHINGTON ST,STOCKTON ST,3.0,Chinatown,CENTRAL,37.794940948486,-122.408081054688,"(37.79494095, -122.40808105)",Phone,,104.0,6.0,3.0,6.0,10.0,3.0,1.0,28857.0,1.0,4.0,4.0,5.0,104.0,,3.0,5.0,,,5.0,,,2.0,,,,,104.0
4160337,13164618,11/20/2020 08:32:00 AM,11/20/2020 12:17:55 PM,11/20/2020 12:17:55 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"669 MINNA ST, SAN FRANCISCO, CA, 94103",MINNA ST,6.0,South of Market,SOUTHERN,37.7774428,-122.4119429,"(37.7774428, -122.4119429)",Mobile/Open311,http://mobile311.sfgov.org/reports/13164618/photos,32.0,1.0,10.0,34.0,9.0,8.0,2.0,28853.0,2.0,34.0,34.0,24.0,32.0,1.0,10.0,6.0,,1.0,6.0,,1.0,2.0,1.0,1.0,,,32.0
5600460,9668314,10/13/2018 05:18:26 PM,10/13/2018 05:19:20 PM,10/13/2018 05:19:20 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"742 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,9.0,Mission Dolores,MISSION,37.761105,-122.421545,"(37.761105, -122.421545)",Mobile/Open311,http://mobile311.sfgov.org/reports/9668314/photos,37.0,3.0,5.0,20.0,5.0,2.0,7.0,28859.0,4.0,19.0,19.0,,37.0,,5.0,,,3.0,,,,1.0,,3.0,,,37.0
4825749,14408177,09/28/2021 06:52:00 PM,09/29/2021 03:14:00 PM,09/29/2021 03:14:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,Intersection of 16TH ST and GUERRERO ST,16TH ST,8.0,Mission Dolores,MISSION,37.764781951904,-122.424102783203,"(37.76478195, -122.42410278)",Phone,,37.0,3.0,5.0,20.0,5.0,8.0,7.0,28859.0,4.0,19.0,19.0,,37.0,,5.0,,,,,,,2.0,,,,,37.0
1469465,9766629,11/05/2018 08:20:00 AM,11/13/2018 01:10:05 AM,11/13/2018 01:10:05 AM,Closed,Case Resolved - The sign shop has indicated that this is a duplicate of a previous 311 ticket so is closing this duplicate ticket.,DPT SignShop Queue,General Request - MTA,request_for_service,traffic_engineering - request_for_service,Not associated with a specific address,,,,,0.0,0.0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883344,3497195,03/27/2014 06:26:10 PM,04/02/2014 01:15:48 PM,04/02/2014 01:15:48 PM,Closed,Case Resolved - Cotton jam removed.,DPT Meter_Bike Queue,Damaged Property,Damaged Parking_Meter,Parking_Meter,Intersection of 3RD AVE and CLEMENT ST,3RD AVE,1.0,Inner Richmond,RICHMOND,37.783086746447,-122.4612070909,"(37.78308675, -122.46120709)",Phone,,5.0,8.0,4.0,11.0,2.0,11.0,9.0,54.0,6.0,11.0,11.0,,5.0,,4.0,,,,,,,1.0,,,6.0,,5.0
3244158,11313462,08/23/2019 12:27:05 PM,08/25/2019 12:30:00 PM,08/25/2019 12:30:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Human or Animal Waste,Human or Animal Waste,"1617 MARKET ST, SAN FRANCISCO, CA, 94103",MARKET ST,6.0,South of Market,SOUTHERN,37.773929047433,-122.420613477121,"(37.77392905, -122.42061348)",Mobile/Open311,http://mobile311.sfgov.org/reports/11313462/photos,32.0,1.0,10.0,20.0,9.0,8.0,2.0,28853.0,2.0,19.0,19.0,,32.0,1.0,10.0,,,1.0,,,1.0,2.0,1.0,1.0,,,32.0
3047636,11878222,12/30/2019 03:02:00 PM,12/31/2019 07:05:42 AM,12/31/2019 07:05:42 AM,Closed,Case Resolved - Pickup completed,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"1490 15TH ST, SAN FRANCISCO, CA, 94103",15TH ST,9.0,Mission,MISSION,37.766872406006,-122.417442321777,"(37.76687241, -122.41744232)",Phone,,53.0,3.0,2.0,20.0,7.0,8.0,7.0,28853.0,4.0,19.0,19.0,12.0,53.0,,2.0,14.0,,3.0,14.0,,,2.0,,3.0,,,53.0
5463729,6890795,03/01/2017 08:09:58 AM,03/01/2017 03:22:06 PM,03/01/2017 03:22:06 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"615 LEAVENWORTH ST, SAN FRANCISCO, CA, 94109",LEAVENWORTH ST,3.0,Lower Nob Hill,CENTRAL,37.786823272705,-122.415008544922,"(37.78682327, -122.41500854)",Phone,,50.0,6.0,10.0,36.0,9.0,13.0,1.0,28858.0,1.0,36.0,36.0,,50.0,,10.0,,,,,,,2.0,,,,,50.0
