name,Latitude,Longitude
McCoppin Square Restrooms,37.7435293,-122.4809266
Ocean View Park Public Restrooms,37.7161851,-122.4574249
Midtown Terrace Public Restroom,37.7515195,-122.4558285
Public Restrooms,37.7516073,-122.465278
Public Restrooms,37.7351822,-122.5069701
Public Restroom,37.7251438,-122.4740839
Public Convenience Station,37.7414144,-122.5070748
Aptos Playground Public Restroom,37.7285712,-122.4660045
Public Restroom,37.7383811,-122.4837651
Public Restrooms,37.7417829,-122.4653822
Public Restrooms,37.7256336,-122.4994508
Carl Larsen Park Restrooms,37.7395973,-122.47619
Zoo entrance public restrooms,37.7329152,-122.5051496
Stern Grove Park Restrooms,37.7359655,-122.4871807
Portable toilets,37.7148452,-122.5025053
Public Restroom,37.7585406,-122.4552141
Public Restroom,37.7602204,-122.5095502
Public Restrooms,37.7662057,-122.4560025
Mother's Meadow Playground Public Restroom,37.7663778,-122.4766943
bathrooms,37.7663592,-122.4767761
Restroom,37.7667032,-122.4927951
Polo Field North Bathroom,37.7695174,-122.4930654
Restrooms,37.7688924,-122.4708958
Bandstand Public Restrooms,37.7697946,-122.4686658
Restrooms,37.7672692,-122.5078805
Public restrooms,37.7709079,-122.4768544
Public Restroom,37.7701225,-122.4955982
Public Restrooms,37.7725577,-122.4608314
Public Restroom,37.7731138,-122.4983653
Rossi Playground Public Restroom,37.7780289,-122.4577414
Argonne Playground Public Restroom,37.7796011,-122.4775839
Public restrooms,37.782889,-122.4912059
Public Restrooms,37.7869906,-122.4717707
Public Restrooms,37.7850133,-122.4847482
Public Restroom,37.7853256,-122.4778022
Public Restroom,37.8097928,-122.4764316
Public Restrooms,37.8293627,-122.4832272
Public Restrooms,37.8329279,-122.4804555
Cayuga Park Public Restrooms,37.7143355,-122.4498239
Public Restrooms,37.7391806,-122.4495143
Public Restrooms,37.7338931,-122.4482683
Twin Peaks Public Restroom,37.7543698,-122.4465753
Public Restroom,37.7837312,-122.4511242
Public Restroom and Water Fountain,37.7886553,-122.4493497
Balboa Park Public Restrooms,37.7251508,-122.4442432
Public Restroom,37.7723887,-122.447587
Public Restroom,37.7251345,-122.445567
Public Restrooms,37.7369129,-122.4405511
Public Restrooms,37.8066543,-122.4425675
Douglass Park Restroom,37.7478421,-122.4383759
Public Restroom,37.7637666,-122.438488
Public Restrooms,37.7912079,-122.4381202
Public Restroom,37.7627925,-122.4346441
Public Restroom,37.7824241,-122.4356483
Public Restroom,37.72036,-122.4336365
Public Restrooms,37.8068033,-122.4314841
Public restroom,37.768545,-122.427901
Restroom,37.7917677,-122.4281297
Public Restrooms,37.804267,-122.4298153
Public Restroom,37.7607655,-122.4276805
Public Restrooms,37.7759917,-122.4275111
Public Restrooms,37.7805402,-122.4258447
Public Restroom,37.7221536,-122.4206369
Public restroom,37.759409,-122.4223991
Public Restrooms,37.8056673,-122.4231186
Holly Park Public Restroom,37.7369815,-122.4204444
24th BART Plaza Public Restroom,37.7521346,-122.4187239
Public Restroom | 16th BART Plaza,37.7648256,-122.4200038
Public Restroom,37.8085962,-122.4209795
Public Restroom 1,37.7485717,-122.4161308
Public Restroom,37.7787697,-122.4170233
Public Restroom,37.8010734,-122.4168583
Louis Sutter Roundhouse Restroom,37.7223893,-122.4144323
Restroom,37.7191365,-122.4126259
Public Restroom,37.8004178,-122.4100261
Public Restroom,37.7843869,-122.4077995
Public Restroom,37.78772,-122.4074507
Public Restrooms,37.7500149,-122.4065771
Public Restrooms,37.7767656,-122.4060457
Brisbane Community Park Public Restroom,37.6849587,-122.4008085
Park Restroom,37.6849695,-122.4007847
Public Restrooms,37.7639202,-122.3988129
Public Restroom,37.7712386,-122.3986177
Public Restrooms,37.7941989,-122.4116035
Public Restroom,37.7730707,-122.3936361
Public Restroom,37.7168632,-122.388236
Public Restroom,37.7330727,-122.3825777
UNSEASONED,37.7523134,-122.4191204
Restroom,37.7087113,-122.3747096
Restroom,37.709628,-122.3798562
Deca,37.7498418,-122.3902821
Public Restrooms,37.7695447,-122.4347362
Public Restrooms,37.7766238,-122.4339235
Bathroom (Nighttime),37.7825923,-122.4149155
Public Restroom,37.788949,-122.401325
Starbucks,37.7542,-122.48882
Starbucks,37.671361,-122.464307
Starbucks,37.6973358,-122.4629514
Starbucks,37.672425,-122.469961
Starbucks,37.667668,-122.468369
Starbucks,37.7397096,-122.4674266
Starbucks,37.6738414,-122.4642387
Starbucks,37.699608,-122.481774
Starbucks,37.670383,-122.47089
Starbucks,37.727889,-122.476708
Starbucks,37.700767,-122.483179
Starbucks,37.744657,-122.452707
Starbucks,37.7637335,-122.477483
Starbucks,37.764205,-122.466024
Starbucks,37.7642115,-122.4563777
Starbucks,37.7801515,-122.4780683
Starbucks,37.786261,-122.453194
Starbucks,37.785936,-122.439858
Starbucks,37.751341,-122.431709
Starbucks,37.7834842,-122.4330066
Starbucks,37.761019,-122.434666
Starbucks,37.782755,-122.431519
Starbucks,37.7820104,-122.447021
Starbucks,37.7902212,-122.433861
Starbucks,37.7886181,-122.4346739
Starbucks,37.799293,-122.449466
Starbucks,37.7436155,-122.438964
Starbucks,37.775737,-122.446293
Starbucks,37.804486,-122.433775
Starbucks,37.797644,-122.430395
Starbucks featuring Reserve,37.7610635,-122.4347003
Starbucks,37.8006493,-122.4385477
Starbucks,37.769122,-122.428353
Starbucks,37.7772372,-122.419438
Starbucks,37.777035,-122.393641
Starbucks,37.7411788,-122.3876422
Starbucks,37.7668416,-122.409623
Starbucks,37.777059,-122.417348
Starbucks,37.7713497,-122.3892176
Starbucks,37.765822,-122.403488
Starbucks,37.770046,-122.41615
Starbucks,37.7702322,-122.4033968
Starbucks,37.762912,-122.410423
Starbucks,37.7671,-122.39389
Starbucks,37.776817,-122.39407
Starbucks,37.7658488,-122.406571
Starbucks,37.788575,-122.422207
Starbucks,37.789348,-122.406831
Starbucks,37.79067,-122.40389
Starbucks,37.7930882,-122.399686
Starbucks,37.7902211,-122.4219668
Starbucks,37.7872609,-122.4106705
Starbucks,37.7898364,-122.402018
Starbucks,37.7920072,-122.3983607
Starbucks,37.8029252,-122.4029371
Starbucks,37.7967591,-122.4221322
Starbucks,37.7840744,-122.4073725
